CPU model	# of users	Price, in VND
Intel(R) Pentium(R) CPU G2030 @ 3.00GHz	195076	1453760
Intel(R) Pentium(R) CPU G3250 @ 3.20GHz	139134	1294755
Intel(R) Core(TM) i3-4005U CPU @ 1.70GHz	113530	6246625
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz	103733	5110875
Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz	102628	6246625
Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz	102054	6382915
Pentium(R) Dual-Core CPU E5300 @ 2.60GHz	95582	454300
Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz	94853	2657655
Intel(R) Pentium(R) CPU G2020 @ 2.90GHz	87768	1453760
Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz	81647	6382915
Pentium(R) Dual-Core CPU E5700 @ 3.00GHz	75607	454300
Pentium(R) Dual-Core CPU E5200 @ 2.50GHz	75474	454300
Intel(R) Pentium(R) CPU G3220 @ 3.00GHz	71871	1340185
Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz	71115	5110875
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	70440	6382915
Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz	70089	454300
Intel(R) Pentium(R) CPU G3260 @ 3.30GHz	69105	1453760
Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz	65863	6382915
Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz	62210	454300
Intel(R) Pentium(R) CPU G3240 @ 3.10GHz	60404	1340185
Intel(R) Pentium(R) CPU G4400 @ 3.30GHz	58344	1453760
Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz	58271	5110875
Intel(R) Core(TM) i3 CPU M 380 @ 2.53GHz	56934	454300
Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz	55776	2657655
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz	54375	2657655
Intel(R) Core(TM) i3-2350M CPU @ 2.30GHz	54251	454300
Intel(R) Celeron(R) CPU G1630 @ 2.80GHz	52394	1181180
Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz	51258	2657655
Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz	51078	2589510
